Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2023-01-19,91.37,94.52,91.145,93.58,2280827.0,92.9239,40179.0,0.0063315257891454,0.1949942536074576,0.0272235217319089,0.0083085843769102,81.5073,84.1818,83.5625,84.1997,58.7062,11.6277,151.6431,30.0,100.0,94.2824,81.5073,68.7323,45612454.5867,41040146.0
2023-01-18,92.73,93.56,90.94,92.73,2235423.0,92.2971,32937.0,0.005195862588867,0.1546507284273433,0.0277863890014921,0.0067580352176465,80.9983,83.5337,84.4135,85.33,58.0739,11.5052,162.9381,33.3333,100.0,93.0023,80.9983,68.9943,44602132.7008,38759319.0
2023-01-17,92.08,92.73,90.59,91.75,1752142.0,91.6727,29333.0,0.0052006365542934,0.1548143486469477,0.0277873433110431,0.0067580352176465,80.5843,82.8994,84.6231,87.4057,57.3459,11.4255,175.6353,36.6667,90.0,91.7702,80.5843,69.3985,43783046.4107,36523896.0
2023-01-13,90.68,92.08,90.356,92.06,2135224.0,91.4287,37207.0,0.0053254734780264,0.1591538655250557,0.0277569664195399,0.0067580352176465,80.1743,82.2891,86.9534,89.1515,57.652,11.3837,201.2273,40.0,93.3333,90.5666,80.1743,69.7821,43635669.9808,38276038.0
2023-01-12,89.14,91.67,88.41,91.2,1774620.0,90.9653,30923.0,0.0069285894014346,0.2143808255659107,0.0292939946955373,0.0067580352176465,79.753,81.6152,90.6404,90.3009,57.037,11.3718,216.5132,43.3333,96.6667,89.162,79.753,70.344,41549987.1409,36140814.0
2023-01-11,91.32,93.28,90.08,91.75,1608682.0,91.5452,34994.0,0.0064202970572237,0.1957513358529907,0.0296440223888024,0.0067580352176465,79.2163,80.9542,89.8606,87.5103,57.5537,11.379,283.8624,46.6667,100.0,87.7482,79.2163,70.6845,40287067.3863,37915434.0
2023-01-10,84.86,91.0,84.69,90.79,2044774.0,89.4138,39651.0,0.0052210594316063,0.153181760447097,0.0301747049838246,0.0054105414049611,78.7157,80.2096,90.4017,83.8555,56.8948,11.2873,272.8851,50.0,100.0,85.9037,78.7157,71.5276,40215703.1738,36284252.0
2023-01-09,84.45,86.32,83.7722,85.04,1376855.0,85.2738,27262.0,0.0031674055115256,0.086634295936621,0.027866611788589,0.0053807031731943,78.3137,79.48,82.2687,80.9181,52.6382,11.2972,212.8876,53.3333,43.3333,83.9336,78.3137,72.6938,38307031.4052,34239478.0
2023-01-06,82.65,84.25,79.85,83.54,1185283.0,82.7663,24672.0,0.0039022231637481,0.110166112956811,0.0285296313917293,0.0053807031731943,78.0877,79.0965,78.8961,82.6113,51.4286,11.5389,158.889,0.0,46.6667,83.1222,78.0877,73.0531,38313624.3995,32862623.0
2023-01-05,80.61,82.61,79.14,81.58,1557126.0,81.5174,30070.0,0.0036095582075875,0.1006475984889367,0.0283662659524101,0.0053807031731943,77.8113,78.7901,81.5895,87.6667,49.8096,11.8989,120.8539,3.3333,50.0,82.5179,77.8113,73.1048,37510864.5495,31677340.0
