Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-04-10,83.926,87.4,83.709,87.039,431791530.0,86.3739,869830.0,0.0037185655172979,0.1059967474484306,0.0267226429542933,0.0041080035490895,88.2506,85.8548,36.5882,28.9538,58.9109,40.4441,-52.5333,3.3333,26.6667,95.9173,88.2506,80.5839,65257471241.5213,159887334101.0
2024-04-09,87.442,87.635,83.022,85.354,503509350.0,84.8175,1086602.0,0.0028957347631633,0.0792238357359187,0.0265963548498056,0.0006259932855313,87.9726,85.7738,30.177,23.1852,57.4147,41.0981,-57.2506,6.6667,30.0,96.3667,87.9726,79.5784,64910032659.6817,159455405571.0
2024-04-08,88.7,88.83,86.732,87.133,283220000.0,87.4278,643890.0,0.0036926067152193,0.1055616731779049,0.0262416958940835,0.002331805113827,87.7637,85.8034,20.0963,18.1522,59.6308,41.7746,-4.6636,10.0,33.3333,96.7031,87.7637,78.8243,64904507238.7539,159955185311.0
2024-04-05,86.866,88.481,85.926,88.008,399584460.0,87.5842,788316.0,0.0041424299971887,0.1206307151898535,0.0261194930042984,0.0035207577382743,87.4864,85.7124,19.2823,18.2383,60.7456,42.1281,-1.1076,0.0,36.6667,96.9866,87.4864,77.9862,65076900763.4059,160234260631.0
2024-04-04,90.406,90.634,85.88,85.905,434715420.0,88.3507,892804.0,0.0087933714368898,0.2732540498972124,0.0387132661838963,0.0035207577382743,87.1707,85.5548,15.0779,17.731,58.9632,42.5117,4.6098,0.0,40.0,97.197,87.1707,77.1443,64826432815.4529,159836531851.0
2024-04-03,88.484,90.374,88.4,88.964,369402050.0,89.5463,698935.0,0.0089892313269201,0.2810018371439002,0.0385086451042178,0.0035207577382743,86.5562,85.5314,20.3546,17.9386,62.9846,42.9085,36.6406,3.3333,43.3333,98.828,86.5562,74.2844,65250792084.383,160265401751.0
2024-04-02,88.448,90.094,87.62,89.452,432545050.0,88.9606,838078.0,0.0077200076568675,0.2319579455537967,0.0395765046176311,0.0035207577382743,85.9058,85.2954,17.7605,20.2267,63.6541,43.0756,38.0398,6.6667,46.6667,99.5878,85.9058,72.2238,65408331195.8116,160632993011.0
2024-04-01,90.299,92.225,89.204,90.363,451941490.0,90.5151,872234.0,0.0080354149905084,0.2437337208612329,0.0394709412050431,0.0035207577382743,85.3444,85.0094,15.7007,31.0308,64.8989,43.261,58.231,10.0,50.0,99.7622,85.3444,70.9267,65200836682.2707,161064372361.0
2024-03-28,90.0,91.3,89.193,90.356,435212270.0,90.5004,771056.0,0.0074726161038592,0.2227361889664103,0.0397001030009691,0.0035207577382743,84.7542,84.641,27.2188,51.4381,64.8938,43.2967,57.6051,13.3333,53.3333,99.742,84.7542,69.7664,65305115557.8053,160616255031.0
2024-03-27,93.112,93.24,89.123,90.25,586046230.0,90.3244,1189234.0,0.0082523801183413,0.2513060036646029,0.0397983547283578,0.0052969561735368,84.2056,84.2475,50.173,71.7105,64.819,43.3713,66.4096,16.6667,56.6667,99.5356,84.2056,68.8757,65259879920.8191,160181042761.0
